bank_id,bank_name,city,blood_type,current_score,projected_score_72h,severity,forecast_severity,days_of_supply,computed_at
1,G.B. Pant Hospital Blood bank,Port Blair,A+,90,90,CRITICAL,FORECAST_CRITICAL,0.1,2026-07-06T16:22:41
1,G.B. Pant Hospital Blood bank,Port Blair,A-,60,90,LOW,FORECAST_CRITICAL,1.0,2026-07-06T16:22:41
1,G.B. Pant Hospital Blood bank,Port Blair,B+,20,60,SAFE,FORECAST_LOW,2.9,2026-07-06T16:22:41
1,G.B. Pant Hospital Blood bank,Port Blair,B-,20,20,SAFE,FORECAST_SAFE,4.1,2026-07-06T16:22:41
1,G.B. Pant Hospital Blood bank,Port Blair,O+,90,90,CRITICAL,FORECAST_CRITICAL,0.0,2026-07-06T16:22:41
1,G.B. Pant Hospital Blood bank,Port Blair,O-,20,60,SAFE,FORECAST_LOW,3.1,2026-07-06T16:22:41
1,G.B. Pant Hospital Blood bank,Port Blair,AB+,20,60,SAFE,FORECAST_LOW,3.1,2026-07-06T16:22:41
1,G.B. Pant Hospital Blood bank,Port Blair,AB-,60,60,LOW,FORECAST_LOW,1.7,2026-07-06T16:22:41
2,I.N.H.S. Dhanvantri,Port Blair,A+,16,16,SAFE,FORECAST_SAFE,3.5,2026-07-06T16:22:41
2,I.N.H.S. Dhanvantri,Port Blair,A-,56,56,LOW,FORECAST_LOW,1.7,2026-07-06T16:22:41
2,I.N.H.S. Dhanvantri,Port Blair,B+,56,56,LOW,FORECAST_LOW,1.8,2026-07-06T16:22:41
2,I.N.H.S. Dhanvantri,Port Blair,B-,56,56,LOW,FORECAST_LOW,1.8,2026-07-06T16:22:41
2,I.N.H.S. Dhanvantri,Port Blair,O+,86,86,CRITICAL,FORECAST_CRITICAL,0.4,2026-07-06T16:22:41
2,I.N.H.S. Dhanvantri,Port Blair,O-,86,86,CRITICAL,FORECAST_CRITICAL,0.6,2026-07-06T16:22:41
2,I.N.H.S. Dhanvantri,Port Blair,AB+,86,86,CRITICAL,FORECAST_CRITICAL,0.0,2026-07-06T16:22:41
2,I.N.H.S. Dhanvantri,Port Blair,AB-,56,56,LOW,FORECAST_LOW,2.1,2026-07-06T16:22:41
3,Pillar Health Centre Blood Bank,Port Blair,A+,57,57,LOW,FORECAST_LOW,2.3,2026-07-06T16:22:41
3,Pillar Health Centre Blood Bank,Port Blair,A-,57,87,LOW,FORECAST_CRITICAL,1.7,2026-07-06T16:22:41
3,Pillar Health Centre Blood Bank,Port Blair,B+,87,87,CRITICAL,FORECAST_CRITICAL,0.8,2026-07-06T16:22:41
3,Pillar Health Centre Blood Bank,Port Blair,B-,17,57,SAFE,FORECAST_LOW,3.0,2026-07-06T16:22:41
3,Pillar Health Centre Blood Bank,Port Blair,O+,57,57,LOW,FORECAST_LOW,2.6,2026-07-06T16:22:41
3,Pillar Health Centre Blood Bank,Port Blair,O-,87,87,CRITICAL,FORECAST_CRITICAL,0.8,2026-07-06T16:22:41
3,Pillar Health Centre Blood Bank,Port Blair,AB+,57,87,LOW,FORECAST_CRITICAL,1.5,2026-07-06T16:22:41
3,Pillar Health Centre Blood Bank,Port Blair,AB-,17,57,SAFE,FORECAST_LOW,2.9,2026-07-06T16:22:41
4,"Indian Red Cross Society Blood Bank, District Branch",Anantapur,A+,13,13,SAFE,FORECAST_SAFE,3.7,2026-07-06T16:22:41
4,"Indian Red Cross Society Blood Bank, District Branch",Anantapur,A-,13,53,SAFE,FORECAST_LOW,3.2,2026-07-06T16:22:41
4,"Indian Red Cross Society Blood Bank, District Branch",Anantapur,B+,83,83,CRITICAL,FORECAST_CRITICAL,0.4,2026-07-06T16:22:41
4,"Indian Red Cross Society Blood Bank, District Branch",Anantapur,B-,13,53,SAFE,FORECAST_LOW,3.3,2026-07-06T16:22:41
